name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,solar_flux,habit_code,temp_c,temp_f,disc_facility,disc_method
HIP 57274 c,HIP 57274,c,2011,32.03,14.2,"568,428","353,227",130.0,0.0452,,0,,,W. M. Keck Observatory,Radial Velocity
HIP 57274 d,HIP 57274,d,2011,431.7,14.2,"568,428","353,227",167.4,0.0583,,0,,,W. M. Keck Observatory,Radial Velocity
HIP 63242 b,HIP 63242,b,2013,124.6,12.5,"500,377","310,939",2917.6,1.49,,0,,,Multiple Observatories,Radial Velocity
HIP 65 A b,HIP 65 A,b,2020,0.98,22.754,"910,847","566,009",1021.2,0.0871,661,0,1138.0,2080.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HIP 65407 b,HIP 65407,b,2016,28.12,14.3,"572,431","355,714",136.0,0.0465,,0,,,Haute-Provence Observatory,Radial Velocity
HIP 65407 c,HIP 65407,c,2016,67.3,13.9,"556,419","345,764",249.2,0.0926,,0,,,Haute-Provence Observatory,Radial Velocity
HIP 65426 b,HIP 65426,b,2017,,16.814,"673,067","418,250",2860.5,0.6007,,0,1227.0,2241.0,Paranal Observatory,Imaging
HIP 65891 b,HIP 65891,b,2015,1084.5,12.8,"512,386","318,402",1907.0,0.9074,,0,,,Multiple Observatories,Radial Velocity
HIP 67522 b,HIP 67522,b,2020,6.96,10.07,"403,104","250,493",72.4,0.0708,,0,901.0,1654.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HIP 67537 b,HIP 67537,b,2017,2556.5,12.4,"496,374","308,452",3527.9,1.8512,,0,,,Multiple Observatories,Radial Velocity
HIP 67851 b,HIP 67851,b,2015,88.9,13.6,"544,410","338,302",438.6,0.1739,,0,,,Multiple Observatories,Radial Velocity
HIP 67851 c,HIP 67851,c,2015,2131.8,12.7,"508,383","315,914",2002.2,0.9746,,0,,,Multiple Observatories,Radial Velocity
HIP 70849 b,HIP 70849,b,2009,17337.5,12.5,"500,377","310,939",2860.0,1.461,,0,,,La Silla Observatory,Radial Velocity
HIP 71135 b,HIP 71135,b,2019,87.19,4.55,"182,137","113,182",18.8,0.1996,,0,,,Las Campanas Observatory,Radial Velocity
HIP 74890 b,HIP 74890,b,2016,822.3,13.3,"532,401","330,839",762.8,0.323,,0,,,Multiple Observatories,Radial Velocity
HIP 78530 b,HIP 78530,b,2010,,12.0,"480,362","298,502",7300.0,4.2105,,0,2427.0,4401.0,Gemini Observatory,Imaging
HIP 79098 AB b,HIP 79098 AB,b,2019,,12.1,"484,365","300,989",6515.5,3.6661,,0,2177.0,3951.0,Paranal Observatory,Imaging
HIP 79431 b,HIP 79431,b,2009,111.7,13.4,"536,404","333,327",667.4,0.2759,,0,,,W. M. Keck Observatory,Radial Velocity
HIP 8541 b,HIP 8541,b,2016,1560.2,12.8,"512,386","318,402",1748.1,0.8312,,0,,,Multiple Observatories,Radial Velocity
HIP 91258 b,HIP 91258,b,2013,5.05,13.7,"548,413","340,789",346.4,0.1343,,0,,,Haute-Provence Observatory,Radial Velocity
HIP 97233 b,HIP 97233,b,2014,1058.8,12.1,"484,365","300,989",6356.3,3.5753,,0,,,Multiple Observatories,Radial Velocity
HN Peg b,HN Peg,b,2006,,11.777,"471,435","292,954",6991.6,4.265,,0,,,Spitzer Space Telescope,Imaging
HR 2562 b,HR 2562,b,2016,,12.442,"498,055","309,496",9534.9,4.9365,,0,927.0,1701.0,Gemini Observatory,Imaging
HR 5183 b,HR 5183,b,2019,27000.0,13.1,"524,395","325,864",1026.6,0.4555,,0,-102.0,-152.0,Multiple Observatories,Radial Velocity
HR 810 b,HR 810,b,1999,302.8,13.3,"532,401","330,839",721.5,0.3067,,0,,,La Silla Observatory,Radial Velocity
HR 858 b,HR 858,b,2019,3.59,2.085,"83,463","51,865",5.0,0.5499,989.7,0,1299.0,2370.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HR 858 c,HR 858,c,2019,5.97,1.939,"77,619","48,233",4.4,0.6044,512,0,1053.0,1927.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HR 858 d,HR 858,d,2019,11.23,2.164,"86,625","53,830",5.3,0.5227,217,0,802.0,1476.0,Transiting Exoplanet Survey Satellite (TESS),Transit
HR 8799 b,HR 8799,b,2008,170000.0,13.0,"520,392","323,377",2000.0,0.9074,,0,927.0,1701.0,Gemini Observatory,Imaging
HR 8799 c,HR 8799,c,2008,69000.0,13.0,"520,392","323,377",3000.0,1.3612,,0,927.0,1701.0,Gemini Observatory,Imaging
HR 8799 d,HR 8799,d,2008,37000.0,13.0,"520,392","323,377",3000.0,1.3612,,0,1027.0,1881.0,W. M. Keck Observatory,Imaging
HR 8799 e,HR 8799,e,2010,20815.6,13.115,"524,996","326,237",3178.3,1.4047,,0,877.0,1611.0,W. M. Keck Observatory,Imaging
HU Aqr AB b,HU Aqr,b,2011,2390.0,12.8,"512,386","318,402",1875.2,0.8911,,0,,,Yunnan Astronomical Observatory,Eclipse Timing Variations
HU Aqr AB c,HU Aqr,c,2011,4368.0,12.9,"516,389","320,889",1430.2,0.6642,,0,,,Yunnan Astronomical Observatory,Eclipse Timing Variations
HW Vir b,HW Vir,b,2012,4640.0,12.3,"492,371","305,964",4602.9,2.4682,,0,,,McDonald Observatory,Eclipse Timing Variations
IC 4651 9122 b,IC 4651 9122,b,2018,734.0,12.7,"508,383","315,914",2002.3,0.9746,,0,,,La Silla Observatory,Radial Velocity
K2-10 b,K2-10,b,2015,19.3,3.84,"153,716","95,521",27.0,0.4719,54.1,0,430.0,806.0,K2,Transit
K2-100 b,K2-100,b,2016,1.67,3.59,"143,708","89,302",12.6,0.2722,990,0,1475.0,2687.0,K2,Transit
K2-101 b,K2-101,b,2016,14.68,2.0,"80,060","49,750",4.7,0.5808,,0,,,K2,Transit
K2-102 b,K2-102,b,2016,9.92,1.3,"52,039","32,338",2.2,1.0163,,0,,,K2,Transit
K2-104 b,K2-104,b,2016,1.97,1.96,"78,459","48,755",4.5,0.5953,62.1,0,,,K2,Transit
K2-105 b,K2-105,b,2017,8.27,3.37,"134,902","83,829",30.0,0.7822,,0,541.0,1006.0,K2,Transit
K2-107 b,K2-107,b,2017,3.31,15.98,"639,682","397,505",267.0,0.0635,,0,1376.0,2509.0,K2,Transit
K2-108 b,K2-108,b,2017,4.73,5.33,"213,361","132,584",59.4,0.4029,762,0,1087.0,1989.0,K2,Transit
K2-11 b,K2-11,b,2015,39.94,7.55,"302,228","187,807",44.4,0.1029,9.84,0,461.0,862.0,K2,Transit
K2-110 b,K2-110,b,2017,13.86,2.56,"102,477","63,680",16.7,0.9437,,0,302.0,576.0,K2,Transit
K2-111 b,K2-111,b,2017,5.35,1.9,"76,057","47,263",8.6,1.1978,,0,1036.0,1897.0,K2,Transit
K2-113 b,K2-113,b,2017,5.82,12.14,"485,966","301,984",410.0,0.3575,,0,825.0,1517.0,K2,Transit
K2-114 b,K2-114,b,2017,11.39,10.67,"427,122","265,418",588.0,0.5426,,0,388.0,730.0,K2,Transit
K2-115 b,K2-115,b,2017,20.27,12.06,"482,764","299,994",267.0,0.1488,,0,346.0,655.0,K2,Transit
K2-116 b,K2-116,b,2017,4.66,0.69,"27,621","17,164",0.3,0.7804,78.6,0,,,K2,Transit
K2-117 b,K2-117,b,2017,1.29,2.03,"81,261","50,497",4.8,0.5699,145.8,0,595.0,1103.0,K2,Transit
K2-117 c,K2-117,c,2017,5.44,2.06,"82,462","51,243",4.9,0.559,21.4,0,264.0,507.0,K2,Transit
K2-118 b,K2-118,b,2017,50.92,2.54,"101,677","63,183",7.0,0.4247,4.3,0,,,K2,Transit
K2-119 b,K2-119,b,2017,7.73,2.53,"101,276","62,934",6.9,0.4265,54.9,0,393.0,739.0,K2,Transit
K2-12 b,K2-12,b,2015,8.28,2.33,"93,270","57,959",6.0,0.4755,310,0,730.0,1346.0,K2,Transit
K2-120 b,K2-120,b,2017,9.56,2.01,"80,461","49,999",4.7,0.5771,35.1,0,,,K2,Transit
K2-121 b,K2-121,b,2017,5.19,7.5,"300,226","186,563",43.9,0.1038,89.5,0,450.0,842.0,K2,Transit
K2-122 b,K2-122,b,2017,2.22,1.21,"48,437","30,099",1.9,1.0817,79.9,0,541.0,1006.0,K2,Transit
K2-123 b,K2-123,b,2017,30.95,2.76,"110,483","68,655",8.0,0.3811,2.9,0,65.0,149.0,K2,Transit
K2-124 b,K2-124,b,2017,6.41,2.9,"116,088","72,138",8.8,0.3575,8.7,0,169.0,336.0,K2,Transit
K2-125 b,K2-125,b,2017,21.75,2.18,"87,266","54,228",5.4,0.5191,2,0,,,K2,Transit
K2-126 b,K2-126,b,2017,7.39,1.97,"78,859","49,004",4.5,0.5917,35.3,0,328.0,622.0,K2,Transit
K2-127 b,K2-127,b,2017,3.59,8.37,"335,053","208,205",52.9,0.09,105.6,0,536.0,997.0,K2,Transit
K2-128 b,K2-128,b,2017,5.68,1.42,"56,843","35,323",2.6,0.9056,68.8,0,,,K2,Transit
K2-129 b,K2-129,b,2017,8.24,1.04,"41,631","25,870",1.1,0.9927,4.5,0,,,K2,Transit
K2-13 b,K2-13,b,2015,39.91,1.89,"75,657","47,014",4.2,0.6243,22.8,0,238.0,460.0,K2,Transit
K2-130 b,K2-130,b,2017,2.49,1.25,"50,038","31,094",2.1,1.0726,136.4,0,,,K2,Transit
K2-131 b,K2-131,b,2017,0.37,1.7,"68,051","42,288",6.3,1.3975,,0,1789.0,3252.0,K2,Transit
K2-132 b,K2-132,b,2017,9.18,14.572,"583,320","362,480",155.7,0.0503,,0,1313.0,2395.0,K2,Transit
K2-133 b,K2-133,b,2017,3.07,1.34,"53,640","33,333",2.4,0.9782,,0,,,K2,Transit
K2-133 c,K2-133,c,2017,4.87,1.603,"64,168","39,875",3.2,0.775,,0,,,K2,Transit
K2-133 d,K2-133,d,2017,11.02,2.003,"80,180","49,825",4.7,0.5789,,0,,,K2,Transit
K2-133 e,K2-133,e,2019,26.58,1.73,"69,252","43,034",3.6,0.7005,1.8,0,23.0,73.0,K2,Transit
K2-136 b,K2-136,b,2017,7.98,0.99,"39,630","24,626",0.9,0.9637,,0,280.0,536.0,K2,Transit
K2-136 c,K2-136,c,2017,17.31,2.91,"116,488","72,387",8.8,0.3557,11.9,0,152.0,306.0,K2,Transit
K2-136 d,K2-136,d,2017,25.58,1.45,"58,044","36,069",2.7,0.8838,,0,100.0,212.0,K2,Transit
K2-137 b,K2-137,b,2017,0.18,0.89,"35,627","22,139",158.9,,,0,1198.0,2188.0,K2,Transit
K2-138 b,K2-138,b,2017,2.35,1.57,"62,847","39,054",3.1,0.7967,486,0,,,K2,Transit
K2-138 c,K2-138,c,2017,3.56,2.52,"100,876","62,685",6.9,0.4301,279,0,,,K2,Transit
K2-138 d,K2-138,d,2017,5.4,2.66,"106,480","66,168",7.6,0.4011,160,0,,,K2,Transit
K2-138 e,K2-138,e,2017,8.26,3.29,"131,699","81,839",10.8,0.3031,91.1,0,,,K2,Transit
K2-138 f,K2-138,f,2017,12.76,2.81,"112,485","69,899",8.3,0.3739,51,0,,,K2,Transit
K2-139 b,K2-139,b,2017,28.38,9.11,"364,675","226,612",123.0,0.1652,,0,251.0,484.0,K2,Transit
K2-14 b,K2-14,b,2015,8.37,4.81,"192,545","119,649",20.7,0.1851,8,0,215.0,419.0,K2,Transit
K2-140 b,K2-140,b,2017,6.57,12.25,"490,370","304,720",323.9,0.1748,188.5,0,684.0,1263.0,K2,Transit
K2-141 b,K2-141,b,2018,0.28,1.51,"60,446","37,561",5.1,1.4882,,0,1766.0,3211.0,K2,Transit
K2-141 c,K2-141,c,2018,7.75,7.0,"280,211","174,126",7.4,,,0,,,K2,Transit
K2-146 b,K2-146,b,2018,2.64,2.05,"82,062","50,994",5.8,0.6697,20.7,0,261.0,502.0,K2,Transit
K2-146 c,K2-146,c,2019,4.0,2.19,"87,666","54,477",7.5,0.7114,,0,,,K2,Transit
K2-147 b,K2-147,b,2018,0.96,1.38,"55,242","34,328",2.5,0.9419,200.1,0,,,K2,Transit
K2-148 b,K2-148,b,2018,4.38,1.33,"53,240","33,084",2.3,0.9873,48.8,0,,,K2,Transit
K2-148 c,K2-148,c,2018,6.92,1.73,"69,252","43,034",3.6,0.7005,26.5,0,,,K2,Transit
K2-148 d,K2-148,d,2018,9.76,1.64,"65,649","40,795",3.3,0.7532,16.8,0,,,K2,Transit
K2-149 b,K2-149,b,2018,11.33,1.64,"65,649","40,795",3.3,0.7532,7,0,,,K2,Transit
K2-15 b,K2-15,b,2015,11.81,2.48,"99,275","61,690",6.7,0.4392,48,0,403.0,757.0,K2,Transit
K2-150 b,K2-150,b,2018,10.59,2.0,"80,060","49,750",4.7,0.5808,4.9,0,,,K2,Transit
K2-151 b,K2-151,b,2018,3.84,1.49,"59,645","37,064",2.8,0.853,20.8,0,293.0,559.0,K2,Transit
K2-152 b,K2-152,b,2018,32.65,2.29,"91,669","56,964",5.9,0.4864,2.9,0,64.0,147.0,K2,Transit
K2-153 b,K2-153,b,2018,7.52,2.0,"80,060","49,750",4.7,0.5808,11.8,0,224.0,435.0,K2,Transit
K2-154 b,K2-154,b,2018,3.68,1.99,"79,660","49,502",4.6,0.5844,57.5,0,442.0,828.0,K2,Transit
K2-154 c,K2-154,c,2018,7.95,2.07,"82,862","51,492",4.9,0.5554,20.5,0,279.0,534.0,K2,Transit
K2-155 b,K2-155,b,2018,6.34,1.8,"72,054","44,775",3.9,0.6661,19.9,0,435.0,815.0,K2,Transit
K2-155 c,K2-155,c,2018,13.85,2.6,"104,078","64,675",7.3,0.412,7,0,310.0,590.0,K2,Transit
K2-155 d,K2-155,d,2018,40.72,1.9,"76,057","47,263",4.3,0.6207,1.67,0,108.0,226.0,K2,Transit
K2-156 b,K2-156,b,2018,0.81,1.15,"46,035","28,606",1.6,1.049,,0,1074.0,1965.0,K2,Transit
K2-157 b,K2-157,b,2018,0.37,1.055,"42,232","26,243",1.2,1.0,,0,,,K2,Transit
K2-158 b,K2-158,b,2018,10.06,2.64,"105,680","65,670",7.5,0.4047,,0,521.0,970.0,K2,Transit
K2-158 c,K2-158,c,2018,5.9,1.28,"51,239","31,840",2.2,1.0363,,0,675.0,1247.0,K2,Transit
K2-159 b,K2-159,b,2018,12.42,2.26,"90,468","56,218",5.7,0.4955,,0,411.0,772.0,K2,Transit
K2-16 b,K2-16,b,2015,7.62,2.02,"80,861","50,248",4.7,0.5735,44.5,0,385.0,725.0,K2,Transit
K2-16 c,K2-16,c,2015,19.08,2.54,"101,677","63,183",7.0,0.4247,13.1,0,212.0,414.0,K2,Transit
K2-160 b,K2-160,b,2018,3.71,3.178,"127,216","79,053",10.2,0.3176,,0,,,K2,Transit
K2-161 b,K2-161,b,2018,9.28,6.117,"244,865","152,161",31.1,0.1356,,0,,,K2,Transit
K2-162 b,K2-162,b,2018,9.46,1.44,"57,643","35,820",2.7,0.8911,,0,358.0,676.0,K2,Transit
K2-163 b,K2-163,b,2018,6.67,2.466,"98,714","61,342",6.6,0.4428,,0,,,K2,Transit
K2-164 b,K2-164,b,2018,17.36,3.249,"130,058","80,819",10.6,0.3085,,0,,,K2,Transit
K2-165 b,K2-165,b,2018,2.35,1.274,"50,998","31,691",2.2,1.0454,,0,,,K2,Transit
K2-165 c,K2-165,c,2018,4.38,1.554,"62,207","38,656",3.0,0.8058,,0,,,K2,Transit
K2-165 d,K2-165,d,2018,14.1,2.648,"106,000","65,869",7.5,0.4029,,0,,,K2,Transit
K2-166 b,K2-166,b,2018,8.53,2.19,"87,666","54,477",5.4,0.5154,,0,867.0,1593.0,K2,Transit
K2-167 b,K2-167,b,2018,9.98,2.819,"112,845","70,123",8.3,0.3721,,0,,,K2,Transit
K2-168 b,K2-168,b,2018,15.85,1.86,"74,456","46,268",4.1,0.6388,,0,493.0,919.0,K2,Transit
K2-169 b,K2-169,b,2018,6.38,1.273,"50,958","31,666",2.2,1.0436,,0,,,K2,Transit
K2-17 b,K2-17,b,2015,17.97,2.23,"89,267","55,472",5.6,0.5027,4.91,0,214.0,417.0,K2,Transit
K2-170 b,K2-170,b,2018,7.58,1.418,"56,763","35,273",2.6,0.9093,,0,,,K2,Transit
K2-170 c,K2-170,c,2018,12.4,1.802,"72,134","44,825",3.9,0.6642,,0,,,K2,Transit
K2-171 b,K2-171,b,2018,5.63,2.687,"107,561","66,839",7.7,0.3956,,0,,,K2,Transit
K2-172 b,K2-172,b,2018,14.32,1.666,"66,690","41,442",3.4,0.7368,,0,,,K2,Transit
K2-172 c,K2-172,c,2018,29.63,3.206,"128,337","79,750",10.4,0.314,,0,,,K2,Transit
K2-173 b,K2-173,b,2018,5.87,1.608,"64,369","39,999",3.2,0.7713,,0,,,K2,Transit
K2-174 b,K2-174,b,2018,19.56,2.6,"104,078","64,675",7.3,0.412,,0,182.0,360.0,K2,Transit
K2-175 b,K2-175,b,2018,9.53,2.038,"81,581","50,696",4.8,0.5662,,0,,,K2,Transit
K2-176 b,K2-176,b,2018,5.33,1.491,"59,685","37,089",2.8,0.8512,,0,,,K2,Transit
K2-177 b,K2-177,b,2018,14.16,2.116,"84,704","52,636",5.1,0.539,,0,,,K2,Transit
K2-178 b,K2-178,b,2018,8.75,3.558,"142,427","88,506",12.4,0.274,,0,,,K2,Transit
K2-179 b,K2-179,b,2018,5.17,2.513,"100,596","62,511",6.9,0.4319,,0,,,K2,Transit
K2-18 b,K2-18,b,2015,32.94,2.37,"94,872","58,954",8.9,0.7459,1,2,11.0,52.0,K2,Transit
K2-18 c,K2-18,c,2017,8.96,2.65,"106,080","65,919",7.5,0.4029,,0,90.0,194.0,La Silla Observatory,Radial Velocity
K2-180 b,K2-180,b,2018,8.87,2.31,"92,470","57,462",6.0,0.4809,,0,458.0,856.0,K2,Transit
K2-181 b,K2-181,b,2018,6.89,2.84,"113,686","70,645",8.4,0.3684,,0,689.0,1272.0,K2,Transit
K2-182 b,K2-182,b,2018,4.74,2.76,"110,483","68,655",8.0,0.3811,,0,612.0,1134.0,K2,Transit
K2-183 b,K2-183,b,2018,0.47,2.599,"104,038","64,650",7.3,0.412,,0,,,K2,Transit
K2-183 c,K2-183,c,2018,10.79,2.87,"114,887","71,392",8.6,0.363,,0,514.0,957.0,K2,Transit
K2-183 d,K2-183,d,2018,22.63,2.86,"114,486","71,143",8.6,0.3648,,0,342.0,648.0,K2,Transit
K2-184 b,K2-184,b,2018,17.0,1.55,"62,047","38,556",3.0,0.8094,,0,307.0,585.0,K2,Transit
K2-185 b,K2-185,b,2018,10.62,1.313,"52,560","32,661",2.3,1.0054,,0,,,K2,Transit
K2-186 b,K2-186,b,2018,41.47,3.172,"126,976","78,904",10.2,0.3194,,0,,,K2,Transit
K2-187 b,K2-187,b,2018,0.77,1.3,"52,039","32,338",2.2,1.0163,,0,1542.0,2808.0,K2,Transit
K2-187 c,K2-187,c,2018,2.87,1.8,"72,054","44,775",3.9,0.6661,,0,900.0,1652.0,K2,Transit
K2-187 d,K2-187,d,2018,7.15,3.17,"126,896","78,854",10.2,0.3194,,0,592.0,1098.0,K2,Transit
K2-187 e,K2-187,e,2018,13.61,2.38,"95,272","59,203",6.3,0.4628,,0,425.0,797.0,K2,Transit
K2-188 b,K2-188,b,2018,1.74,1.35,"54,041","33,581",2.4,0.9691,,0,1419.0,2586.0,K2,Transit
K2-188 c,K2-188,c,2018,7.81,2.83,"113,285","70,397",8.4,0.3702,,0,753.0,1387.0,K2,Transit
K2-189 b,K2-189,b,2018,2.59,1.52,"60,846","37,810",2.9,0.8294,,0,924.0,1695.0,K2,Transit
K2-189 c,K2-189,c,2018,6.68,2.5,"100,075","62,188",6.8,0.4338,,0,599.0,1110.0,K2,Transit
K2-19 b,K2-19,b,2015,7.92,7.74,"309,834","192,534",28.5,0.0606,125.9,0,581.0,1078.0,K2,Transit
K2-19 c,K2-19,c,2015,11.91,4.86,"194,547","120,893",15.9,0.1706,73.1,0,472.0,882.0,K2,Transit
K2-19 d,K2-19,d,2016,2.51,1.14,"45,634","28,358",14.0,9.3285,583.5,0,979.0,1794.0,K2,Transit
K2-190 b,K2-190,b,2018,10.1,1.357,"54,321","33,756",2.4,0.9619,,0,,,K2,Transit
K2-190 c,K2-190,c,2018,21.57,1.093,"43,753","27,189",1.3,1.0236,,0,,,K2,Transit
K2-191 b,K2-191,b,2018,2.86,1.579,"63,208","39,278",3.1,0.7913,,0,,,K2,Transit
K2-192 b,K2-192,b,2018,4.16,1.52,"60,846","37,810",2.9,0.8294,,0,666.0,1231.0,K2,Transit
K2-193 b,K2-193,b,2018,14.79,3.95,"158,119","98,257",14.8,0.2396,,0,466.0,871.0,K2,Transit
K2-194 b,K2-194,b,2018,39.72,3.642,"145,790","90,595",12.9,0.2668,,0,,,K2,Transit
K2-195 b,K2-195,b,2018,15.85,3.13,"125,294","77,859",10.0,0.323,,0,447.0,837.0,K2,Transit
K2-195 c,K2-195,c,2018,28.48,2.576,"103,118","64,078",7.2,0.4174,,0,,,K2,Transit
K2-196 b,K2-196,b,2018,48.32,3.6,"144,109","89,550",12.6,0.2686,,0,,,K2,Transit
K2-197 b,K2-197,b,2018,8.36,2.56,"102,477","63,680",7.1,0.4211,,0,575.0,1067.0,K2,Transit
K2-198 b,K2-198,b,2018,17.04,4.189,"167,686","104,202",16.3,0.2214,,0,443.0,829.0,K2,Transit
K2-198 c,K2-198,c,2019,3.36,1.423,"56,963","35,397",2.6,0.9038,,0,957.0,1755.0,K2,Transit
K2-198 d,K2-198,d,2019,7.45,2.438,"97,594","60,646",6.5,0.4483,,0,670.0,1238.0,K2,Transit
K2-199 b,K2-199,b,2018,3.23,1.87,"74,856","46,516",4.2,0.6352,,0,588.0,1090.0,K2,Transit
K2-199 c,K2-199,c,2018,7.37,2.78,"111,284","69,153",8.2,0.3775,,0,380.0,716.0,K2,Transit
K2-200 b,K2-200,b,2018,2.85,1.364,"54,601","33,930",2.4,0.9546,,0,,,K2,Transit
K2-201 b,K2-201,b,2018,1.06,1.4,"56,042","34,825",2.5,0.9238,,0,,,K2,Transit
K2-201 c,K2-201,c,2018,22.78,3.286,"131,539","81,740",10.8,0.3031,,0,,,K2,Transit
K2-202 b,K2-202,b,2018,3.41,2.302,"92,149","57,263",5.9,0.4828,,0,,,K2,Transit
K2-203 b,K2-203,b,2018,9.7,1.371,"54,881","34,104",2.4,0.9492,,0,,,K2,Transit
K2-204 b,K2-204,b,2018,7.06,3.046,"121,932","75,770",9.5,0.3358,,0,,,K2,Transit
K2-205 b,K2-205,b,2018,26.67,1.996,"79,900","49,651",4.6,0.5826,,0,,,K2,Transit
K2-206 b,K2-206,b,2018,18.29,2.795,"111,884","69,526",8.2,0.3757,,0,,,K2,Transit
K2-207 b,K2-207,b,2018,12.49,2.606,"104,319","64,825",7.3,0.412,,0,,,K2,Transit
K2-208 b,K2-208,b,2018,4.19,1.679,"67,211","41,765",3.5,0.7296,,0,,,K2,Transit
K2-209 b,K2-209,b,2018,2.08,0.869,"34,786","21,616",0.6,0.8929,,0,,,K2,Transit
K2-21 b,K2-21,b,2015,9.33,1.84,"73,656","45,770",4.0,0.49,10,0,227.0,441.0,K2,Transit
K2-21 c,K2-21,c,2015,15.5,2.49,"99,675","61,939",6.8,0.98,5.1,0,147.0,297.0,K2,Transit
K2-210 b,K2-210,b,2018,0.57,0.819,"32,785","20,373",0.5,0.8621,,0,,,K2,Transit
K2-211 b,K2-211,b,2018,0.67,1.375,"55,041","34,203",2.5,0.9437,,0,,,K2,Transit
K2-212 b,K2-212,b,2018,9.8,2.52,"100,876","62,685",6.9,0.4301,,0,269.0,516.0,K2,Transit
K2-213 b,K2-213,b,2018,8.13,1.514,"60,606","37,661",2.9,0.833,,0,,,K2,Transit
K2-214 b,K2-214,b,2018,8.6,2.43,"97,273","60,447",6.5,0.4501,,0,733.0,1351.0,K2,Transit
K2-215 b,K2-215,b,2018,8.27,2.124,"85,024","52,835",5.2,0.5372,,0,,,K2,Transit
K2-216 b,K2-216,b,2018,2.17,1.75,"70,053","43,531",8.0,1.4882,248,0,830.0,1526.0,K2,Transit
K2-217 b,K2-217,b,2018,14.07,3.579,"143,268","89,028",12.5,0.2722,,0,,,K2,Transit
K2-218 b,K2-218,b,2018,8.68,2.569,"102,838","63,904",7.1,0.4192,,0,,,K2,Transit
K2-219 b,K2-219,b,2018,3.9,1.348,"53,961","33,532",2.4,0.9691,,0,,,K2,Transit
K2-219 c,K2-219,c,2018,6.67,1.438,"57,563","35,770",2.7,0.8911,,0,,,K2,Transit
K2-219 d,K2-219,d,2018,11.14,2.576,"103,118","64,078",7.2,0.4174,,0,,,K2,Transit
K2-22 b,K2-22,b,2015,0.38,2.5,"100,075","62,188",445.0,,114,0,1827.0,3321.0,K2,Transit
K2-220 b,K2-220,b,2018,13.68,2.39,"95,672","59,452",6.3,0.461,,0,485.0,905.0,K2,Transit
K2-221 b,K2-221,b,2018,2.4,1.679,"67,211","41,765",3.5,0.7296,,0,,,K2,Transit
K2-222 b,K2-222,b,2018,15.39,2.39,"95,672","59,452",6.3,0.461,,0,528.0,982.0,K2,Transit
K2-223 b,K2-223,b,2018,0.51,0.89,"35,627","22,139",0.6,0.9056,,0,1998.0,3628.0,K2,Transit
K2-223 c,K2-223,c,2018,4.56,1.57,"62,847","39,054",3.1,0.7967,,0,818.0,1504.0,K2,Transit
K2-224 b,K2-224,b,2018,4.48,1.56,"62,447","38,805",3.0,0.8004,,0,729.0,1344.0,K2,Transit
K2-224 c,K2-224,c,2018,10.09,2.41,"96,473","59,949",6.4,0.4555,,0,491.0,916.0,K2,Transit
K2-225 b,K2-225,b,2018,15.87,3.49,"139,705","86,814",12.0,0.2813,,0,629.0,1164.0,K2,Transit
K2-226 b,K2-226,b,2018,3.27,1.54,"61,646","38,308",3.0,0.8167,,0,847.0,1557.0,K2,Transit
K2-227 b,K2-227,b,2018,13.62,1.666,"66,690","41,442",3.4,0.7368,,0,,,K2,Transit
K2-228 b,K2-228,b,2018,2.7,1.21,"48,437","30,099",1.9,1.0817,,0,641.0,1186.0,K2,Transit
K2-229 b,K2-229,b,2018,0.58,1.14,"45,634","28,358",2.5,1.6152,,0,1545.0,2813.0,K2,Transit
K2-229 c,K2-229,c,2018,8.33,2.03,"81,261","50,497",21.3,2.323,,0,477.0,891.0,K2,Transit
K2-230 b,K2-230,b,2018,2.86,1.96,"78,459","48,755",4.5,0.5953,,0,1256.0,2293.0,K2,Transit
K2-231 b,K2-231,b,2018,13.84,2.5,"100,075","62,188",6.8,0.4338,,0,,,K2,Transit
K2-232 b,K2-232,b,2018,11.17,11.209,"448,698","278,825",126.5,0.0735,,0,757.0,1395.0,K2,Transit
K2-233 b,K2-233,b,2018,2.47,1.398,"55,962","34,775",2.5,0.9274,273,0,767.0,1413.0,K2,Transit
K2-233 c,K2-233,c,2018,7.06,1.335,"53,440","33,208",2.3,0.98,67.1,0,455.0,851.0,K2,Transit
K2-233 d,K2-233,d,2018,24.37,2.64,"105,680","65,670",7.5,0.4047,12.9,0,209.0,408.0,K2,Transit
K2-237 b,K2-237,b,2018,2.18,18.405,"736,755","457,827",392.8,0.0672,,0,1565.0,2849.0,K2,Transit
K2-238 b,K2-238,b,2018,3.2,14.572,"583,320","362,480",273.3,0.1016,,0,1314.0,2397.0,K2,Transit
K2-239 b,K2-239,b,2018,5.24,1.1,"44,033","27,363",1.4,1.0272,,0,229.0,444.0,K2,Transit
K2-239 c,K2-239,c,2018,7.78,1.0,"40,030","24,875",1.0,0.9691,,0,154.0,309.0,K2,Transit
K2-239 d,K2-239,d,2018,10.12,1.1,"44,033","27,363",1.4,1.0272,,0,126.0,259.0,K2,Transit
K2-24 b,K2-24,b,2016,20.89,5.4,"216,163","134,326",19.0,0.1162,60.1,0,436.0,817.0,K2,Transit
